Time,CPU1,CPU2,CPU3,CPU4
1484127690399,0.00,0.00,0.00,0.00
1484127691416,0.00,0.00,0.00,0.00
1484127692433,0.00,0.00,0.00,0.00
1484127693454,0.00,0.00,0.99,0.00
1484127694476,0.00,0.00,0.00,0.00
1484127695526,0.00,0.00,0.00,0.00
1484127696548,0.00,0.00,0.00,0.99
1484127697570,0.00,0.00,0.00,0.00
1484127698592,0.00,0.00,0.00,0.00
1484127699613,0.00,0.00,0.00,0.00
1484127700635,0.00,0.00,0.00,0.00
1484127701657,0.00,0.00,0.00,0.00
1484127702679,0.00,0.00,0.00,0.00
1484127703701,0.00,0.00,0.00,0.00
1484127704724,0.00,0.00,0.00,0.00
1484127705745,0.00,0.00,0.00,0.00
1484127706768,0.00,0.00,0.00,0.00
1484127707789,0.00,0.00,0.00,0.00
1484127708811,0.00,0.00,0.00,0.00
1484127709833,0.00,0.00,0.99,0.00
1484127710855,0.00,0.00,0.00,0.00
1484127711883,0.00,0.00,0.00,0.00
1484127712904,0.00,0.00,0.00,0.00
1484127713926,0.00,0.00,0.00,0.99
1484127714948,0.00,0.00,0.00,0.00
1484127715970,0.00,0.00,0.00,0.00
1484127716996,0.00,0.00,0.00,0.00
1484127718018,0.00,0.00,0.00,0.00
1484127719041,1.02,0.00,27.00,0.00
1484127720063,0.00,1.00,100.00,57.43
1484127721087,2.04,2.00,39.80,35.35
1484127722109,3.00,0.00,1.00,79.80
1484127723131,7.29,6.00,1.00,4.00
1484127724154,1.00,0.00,0.00,0.00
1484127725176,23.23,39.80,38.24,22.00
1484127726199,23.96,46.67,57.14,4.04
1484127727227,25.93,23.21,1.11,0.00
1484127728265,8.00,31.07,13.04,18.60
1484127729296,0.00,38.14,3.88,35.29
1484127730333,0.00,38.38,2.02,26.83
1484127731367,40.43,16.30,1.92,3.00
1484127732484,41.35,32.95,0.00,1.02
1484127733521,45.63,19.28,3.88,0.00
1484127734558,26.47,25.58,10.89,0.00
1484127735594,44.76,27.71,2.94,2.02
1484127736624,42.31,34.15,3.06,1.01
1484127737655,43.40,18.29,3.09,1.02
1484127738685,40.38,29.27,7.14,2.04
1484127739727,47.52,30.95,3.77,0.00
1484127740760,0.00,29.41,0.00,40.54
1484127741799,0.00,28.41,9.20,25.45
1484127742840,0.00,15.73,21.95,23.42
1484127743869,32.35,3.09,21.59,8.82
1484127744898,0.00,4.26,26.19,43.64
1484127745926,0.00,4.55,31.33,27.93
1484127746956,0.00,2.17,24.71,44.04
1484127747980,0.00,0.00,27.38,33.91
1484127749004,0.00,2.25,35.37,40.52
1484127750052,0.00,2.33,31.33,35.96
1484127751101,0.00,1.10,29.41,41.44
1484127752145,0.00,0.00,26.51,47.37
1484127753180,0.00,1.15,34.57,40.00
1484127754214,0.00,2.20,23.26,43.64
1484127755261,1.02,1.14,31.76,40.87
1484127756298,19.00,3.16,29.07,24.30
1484127757346,28.71,27.59,1.01,9.18
1484127758379,40.00,31.33,0.00,2.83
1484127759406,5.00,32.53,0.00,41.75
1484127760442,1.16,30.86,1.01,30.09
1484127761480,1.18,25.58,0.00,37.17
1484127762520,4.88,12.79,2.08,46.09
1484127763556,2.33,0.00,26.51,41.38
1484127764586,0.00,0.00,28.24,39.82
1484127765623,0.00,1.16,23.75,37.39
1484127766661,0.00,1.09,29.76,45.61
1484127767698,1.01,2.22,30.59,45.13
1484127768742,0.00,1.15,27.71,42.61
1484127769780,0.00,4.21,29.63,41.07
1484127770825,28.05,33.62,1.01,2.25
1484127771856,34.09,25.45,5.21,1.14
1484127772888,16.33,18.00,25.30,10.78
1484127773920,0.00,7.53,20.93,43.22
1484127774962,4.65,19.77,0.00,40.00
1484127775999,1.15,13.98,13.33,46.55
1484127777038,0.00,24.39,2.02,40.87
1484127778076,0.00,14.29,13.64,40.71
1484127779107,32.69,3.16,57.95,14.89
1484127780142,35.64,29.59,52.75,65.98
1484127781174,0.00,28.57,37.50,43.01
1484127782209,28.57,1.06,40.91,0.00
1484127783230,28.24,6.59,37.17,0.00
1484127784254,28.05,10.23,26.79,0.00
1484127785284,39.05,13.79,44.68,52.53
1484127786315,26.92,23.23,29.29,38.38
1484127787349,5.15,0.00,1.00,4.90
1484127788372,0.00,0.00,1.00,0.00
1484127789394,0.00,0.00,0.00,0.00
1484127790416,0.00,0.00,0.00,0.00
1484127791433,9.18,1.00,1.01,1.00
1484127792452,8.91,7.84,0.99,7.07
1484127793484,0.00,0.00,0.00,1.00
1484127794506,0.00,0.00,0.00,0.00
1484127795523,0.00,0.00,0.00,0.00
1484127796540,0.00,0.00,0.00,0.00
1484127797567,0.00,0.00,0.00,0.00
1484127798589,0.00,0.00,0.00,0.00
1484127799611,0.00,0.00,0.00,0.00
1484127800633,0.00,0.00,0.00,0.99
1484127801655,0.00,0.00,0.00,0.00
1484127802677,0.00,0.00,0.00,0.00
1484127803699,0.00,0.00,0.00,0.00
1484127804721,0.00,0.00,0.00,0.00
1484127805743,0.00,0.00,0.00,0.00
1484127806765,0.00,0.00,0.00,0.00
1484127807786,0.00,0.00,0.00,0.99
1484127808814,0.00,0.00,0.00,0.00
1484127809836,0.00,0.00,0.00,0.00
1484127810858,0.00,0.00,0.00,0.00
1484127811880,0.00,0.00,0.99,0.00
1484127812901,0.00,0.00,0.00,0.00
1484127813929,0.00,0.00,0.00,0.00
1484127814951,0.00,0.00,0.00,0.00
1484127815973,0.00,0.00,0.00,0.99
1484127816995,0.00,0.00,0.00,0.00
1484127818016,0.00,0.00,0.00,0.00
1484127819043,0.00,0.00,0.00,0.00
1484127820068,1.00,0.00,0.00,0.00
1484127821090,0.00,0.00,0.00,0.00
1484127822112,0.00,0.00,0.00,0.00
1484127823134,0.00,0.00,0.00,0.00
1484127824798,0.00,0.00,0.00,0.00
1484127825820,0.00,1.00,0.00,0.00
