ProcessID,Run,TimeSent,TimeRcvd,Duration
23261,1,1484128036.27,1484128036.28,0.011342048645
23261,2,1484128036.28,1484128036.29,0.0055980682373
23261,3,1484128036.29,1484128036.3,0.00342297554016
23261,4,1484128036.3,1484128036.3,0.00441598892212
23261,5,1484128036.31,1484128036.31,0.00362086296082
23261,6,1484128036.32,1484128036.32,0.00412702560425
23261,7,1484128036.33,1484128036.33,0.00419807434082
23261,8,1484128036.34,1484128036.34,0.00468683242798
23261,9,1484128036.35,1484128036.36,0.00668096542358
23261,10,1484128036.36,1484128036.37,0.00427293777466
23261,11,1484128036.37,1484128036.38,0.00904202461243
23261,12,1484128036.38,1484128036.39,0.00513005256653
23261,13,1484128036.39,1484128036.39,0.004390001297
23261,14,1484128036.4,1484128036.42,0.013701915741
23261,15,1484128036.41,1484128036.42,0.00664114952087
23261,16,1484128036.42,1484128036.43,0.00426888465881
23261,17,1484128036.43,1484128036.43,0.00343704223633
23261,18,1484128036.44,1484128036.45,0.00939297676086
23261,19,1484128036.45,1484128036.45,0.00367712974548
23261,20,1484128036.46,1484128036.47,0.00769186019897
23261,21,1484128036.47,1484128036.48,0.0118319988251
23261,22,1484128036.48,1484128036.49,0.00889706611633
23261,23,1484128036.49,1484128036.49,0.00427198410034
23261,24,1484128036.51,1484128036.51,0.00444602966309
23261,25,1484128036.51,1484128036.52,0.00824618339539
23261,26,1484128036.52,1484128036.52,0.00447297096252
23261,27,1484128036.53,1484128036.53,0.00286984443665
23261,28,1484128036.54,1484128036.55,0.00652194023132
23261,29,1484128036.55,1484128036.55,0.00449419021606
23261,30,1484128036.56,1484128036.56,0.00282216072083
23261,31,1484128036.57,1484128036.57,0.00267386436462
23261,32,1484128036.58,1484128036.59,0.00642395019531
23261,33,1484128036.59,1484128036.59,0.00297403335571
23261,34,1484128036.6,1484128036.6,0.00292706489563
23261,35,1484128036.61,1484128036.61,0.00255703926086
23261,36,1484128036.62,1484128036.63,0.0130920410156
23261,37,1484128036.63,1484128036.63,0.00453901290894
23261,38,1484128036.64,1484128036.64,0.00429797172546
23261,39,1484128036.65,1484128036.65,0.00269794464111
23261,40,1484128036.66,1484128036.67,0.0147769451141
23261,41,1484128036.67,1484128036.68,0.00615286827087
23261,42,1484128036.68,1484128036.68,0.00475382804871
