ProcessID,Run,TimeSent,TimeRcvd,Duration
23271,1,1484128036.43,1484128036.44,0.00658488273621
23271,2,1484128036.44,1484128036.45,0.00642585754395
23271,3,1484128036.45,1484128036.46,0.00492596626282
23271,4,1484128036.46,1484128036.47,0.00500297546387
23271,5,1484128036.47,1484128036.48,0.0028030872345
23271,6,1484128036.48,1484128036.49,0.00321412086487
23271,7,1484128036.49,1484128036.5,0.00329613685608
23271,8,1484128036.5,1484128036.51,0.00304102897644
23271,9,1484128036.51,1484128036.52,0.00310516357422
23271,10,1484128036.52,1484128036.53,0.00497198104858
23271,11,1484128036.53,1484128036.54,0.00311088562012
23271,12,1484128036.54,1484128036.55,0.00308680534363
23271,13,1484128036.55,1484128036.56,0.00298810005188
23271,14,1484128036.56,1484128036.57,0.00488090515137
23271,15,1484128036.57,1484128036.58,0.00300097465515
23271,16,1484128036.58,1484128036.59,0.00303912162781
23271,17,1484128036.59,1484128036.6,0.0030210018158
23271,18,1484128036.6,1484128036.61,0.00324296951294
23271,19,1484128036.61,1484128036.62,0.00302600860596
23271,20,1484128036.62,1484128036.63,0.00317883491516
23271,21,1484128036.63,1484128036.64,0.00306701660156
23271,22,1484128036.64,1484128036.65,0.00484395027161
23271,23,1484128036.65,1484128036.66,0.00271415710449
23271,24,1484128036.66,1484128036.67,0.00295877456665
23271,25,1484128036.67,1484128036.68,0.00288009643555
23271,26,1484128036.68,1484128036.69,0.00452303886414
23271,27,1484128036.69,1484128036.7,0.0029308795929
23271,28,1484128036.7,1484128036.71,0.00311899185181
23271,29,1484128036.71,1484128036.72,0.00298810005188
23271,30,1484128036.72,1484128036.73,0.00490593910217
23271,31,1484128036.73,1484128036.74,0.00302791595459
23271,32,1484128036.74,1484128036.75,0.00279307365417
23271,33,1484128036.75,1484128036.76,0.00509285926819
23271,34,1484128036.76,1484128036.77,0.00430488586426
23271,35,1484128036.77,1484128036.79,0.0151679515839
23271,36,1484128036.78,1484128036.79,0.00663113594055
23271,37,1484128036.79,1484128036.8,0.00366687774658
23271,38,1484128036.8,1484128036.81,0.00857496261597
23271,39,1484128036.81,1484128036.83,0.0165901184082
23271,40,1484128036.82,1484128036.83,0.0083019733429
23271,41,1484128036.83,1484128036.84,0.00671315193176
23271,42,1484128036.85,1484128036.86,0.00369095802307
23271,43,1484128036.85,1484128036.87,0.0112841129303
23271,44,1484128036.86,1484128036.87,0.00490999221802
23271,45,1484128036.87,1484128036.88,0.00483989715576
23271,46,1484128036.88,1484128036.89,0.00470304489136
23271,47,1484128036.89,1484128036.91,0.013090133667
23271,48,1484128036.9,1484128036.91,0.00439810752869
23271,49,1484128036.91,1484128036.92,0.00504589080811
23271,50,1484128036.92,1484128036.93,0.00499320030212
23271,51,1484128036.93,1484128036.95,0.0126881599426
23271,52,1484128036.94,1484128036.95,0.00442481040955
23271,53,1484128036.95,1484128036.96,0.00499892234802
23271,54,1484128036.96,1484128036.96,0.00278997421265
23271,55,1484128036.97,1484128036.99,0.0147998332977
23271,56,1484128036.98,1484128036.99,0.00628709793091
23271,57,1484128036.99,1484128036.99,0.00266313552856
23271,58,1484128037.0,1484128037.01,0.00519585609436
23271,59,1484128037.01,1484128037.03,0.0166990756989
23271,60,1484128037.02,1484128037.03,0.00795888900757
23271,61,1484128037.03,1484128037.04,0.00429010391235
23271,62,1484128037.06,1484128037.06,0.00253891944885
23271,63,1484128037.06,1484128037.08,0.0150830745697
23271,64,1484128037.07,1484128037.08,0.00442504882812
23271,65,1484128037.1,1484128037.11,0.00494909286499
23271,66,1484128037.11,1484128037.15,0.0347909927368
23271,67,1484128037.15,1484128037.16,0.0155358314514
23271,68,1484128037.16,1484128037.16,0.00501298904419
23271,69,1484128037.17,1484128037.17,0.0019748210907
23271,70,1484128037.18,1484128037.18,0.00455093383789
23271,71,1484128037.19,1484128037.2,0.0165429115295
23271,72,1484128037.2,1484128037.21,0.00810599327087
23271,73,1484128037.21,1484128037.22,0.00493216514587
