ProcessID,Run,TimeSent,TimeRcvd,Duration
22447,1,1484127880.28,1484127880.28,0.00365400314331
22447,2,1484127880.3,1484127880.3,0.00137996673584
22447,3,1484127880.32,1484127880.32,0.00136399269104
22447,4,1484127880.34,1484127880.34,0.00539994239807
22447,5,1484127880.36,1484127880.36,0.0019690990448
22447,6,1484127880.38,1484127880.38,0.00110006332397
22447,7,1484127880.4,1484127880.4,0.000993967056274
22447,8,1484127880.42,1484127880.42,0.00127196311951
22447,9,1484127880.44,1484127880.44,0.000997066497803
22447,10,1484127880.46,1484127880.46,0.00102090835571
22447,11,1484127880.48,1484127880.48,0.00133895874023
22447,12,1484127880.5,1484127880.5,0.00146698951721
22447,13,1484127880.52,1484127880.52,0.00208187103271
22447,14,1484127880.54,1484127880.54,0.00155091285706
22447,15,1484127880.56,1484127880.56,0.0016930103302
22447,16,1484127880.58,1484127880.58,0.00158214569092
22447,17,1484127880.6,1484127880.6,0.00243592262268
22447,18,1484127880.62,1484127880.62,0.00132918357849
22447,19,1484127880.64,1484127880.64,0.00189995765686
22447,20,1484127880.66,1484127880.66,0.0016508102417
22447,21,1484127880.68,1484127880.68,0.001629114151
22447,22,1484127880.7,1484127880.7,0.0018208026886
22447,23,1484127880.72,1484127880.72,0.00228977203369
22447,24,1484127880.74,1484127880.74,0.00163793563843
22447,25,1484127880.76,1484127880.76,0.00203204154968
22447,26,1484127880.78,1484127880.78,0.00156402587891
22447,27,1484127880.8,1484127880.8,0.00172209739685
22447,28,1484127880.82,1484127880.82,0.00203013420105
22447,29,1484127880.84,1484127880.84,0.00157785415649
22447,30,1484127880.86,1484127880.86,0.00159692764282
22447,31,1484127880.88,1484127880.88,0.00236701965332
22447,32,1484127880.9,1484127880.9,0.00224184989929
22447,33,1484127880.92,1484127880.92,0.00232601165771
22447,34,1484127880.94,1484127880.94,0.00199389457703
22447,35,1484127880.96,1484127880.96,0.00192999839783
22447,36,1484127880.98,1484127880.98,0.00159406661987
22447,37,1484127881.0,1484127881.0,0.00230193138123
22447,38,1484127881.02,1484127881.02,0.00196695327759
22447,39,1484127881.04,1484127881.04,0.00236082077026
22447,40,1484127881.06,1484127881.06,0.00234699249268
22447,41,1484127881.08,1484127881.08,0.00137495994568
22447,42,1484127881.1,1484127881.1,0.00339603424072
22447,43,1484127881.12,1484127881.12,0.00190305709839
22447,44,1484127881.14,1484127881.14,0.00175809860229
22447,45,1484127881.16,1484127881.16,0.00242805480957
22447,46,1484127881.18,1484127881.18,0.001296043396
22447,47,1484127881.2,1484127881.2,0.00232696533203
22447,48,1484127881.22,1484127881.22,0.00151896476746
22447,49,1484127881.24,1484127881.24,0.00224685668945
22447,50,1484127881.26,1484127881.26,0.00148296356201
22447,51,1484127881.28,1484127881.28,0.00162720680237
22447,52,1484127881.3,1484127881.3,0.00160717964172
22447,53,1484127881.32,1484127881.32,0.00156593322754
22447,54,1484127881.34,1484127881.34,0.00192999839783
22447,55,1484127881.36,1484127881.36,0.00235295295715
22447,56,1484127881.38,1484127881.38,0.00208020210266
22447,57,1484127881.4,1484127881.4,0.00165295600891
22447,58,1484127881.42,1484127881.42,0.00185799598694
22447,59,1484127881.44,1484127881.44,0.0018618106842
22447,60,1484127881.46,1484127881.46,0.000861167907715
22447,61,1484127881.48,1484127881.48,0.000936031341553
22447,62,1484127881.5,1484127881.5,0.00104904174805
22447,63,1484127881.52,1484127881.52,0.00104689598083
22447,64,1484127881.54,1484127881.54,0.0011670589447
22447,65,1484127881.56,1484127881.56,0.00172090530396
22447,66,1484127881.58,1484127881.58,0.00164008140564
22447,67,1484127881.6,1484127881.6,0.00153303146362
22447,68,1484127881.62,1484127881.62,0.0017249584198
22447,69,1484127881.64,1484127881.64,0.00169992446899
22447,70,1484127881.66,1484127881.66,0.00179004669189
22447,71,1484127881.68,1484127881.68,0.00315713882446
22447,72,1484127881.7,1484127881.7,0.00195789337158
22447,73,1484127881.72,1484127881.72,0.00328087806702
22447,74,1484127881.74,1484127881.74,0.00168299674988
22447,75,1484127881.76,1484127881.76,0.00330901145935
22447,76,1484127881.78,1484127881.78,0.00154590606689
22447,77,1484127881.8,1484127881.8,0.00180602073669
22447,78,1484127881.82,1484127881.82,0.00321698188782
22447,79,1484127881.84,1484127881.84,0.00159311294556
22447,80,1484127881.86,1484127881.86,0.00166988372803
22447,81,1484127881.88,1484127881.88,0.00166082382202
22447,82,1484127881.9,1484127881.9,0.00304412841797
22447,83,1484127881.92,1484127881.92,0.00156998634338
22447,84,1484127881.94,1484127881.94,0.00178694725037
22447,85,1484127881.96,1484127881.96,0.0016770362854
22447,86,1484127881.98,1484127881.98,0.00185203552246
22447,87,1484127882.0,1484127882.0,0.00164198875427
22447,88,1484127882.02,1484127882.02,0.00167393684387
22447,89,1484127882.04,1484127882.04,0.00325608253479
22447,90,1484127882.06,1484127882.06,0.00167107582092
22447,91,1484127882.08,1484127882.08,0.00169801712036
22447,92,1484127882.1,1484127882.1,0.00151395797729
22447,93,1484127882.12,1484127882.12,0.00322699546814
22447,94,1484127882.14,1484127882.14,0.00162220001221
22447,95,1484127882.16,1484127882.16,0.00317597389221
22447,96,1484127882.18,1484127882.18,0.00163292884827
22447,97,1484127882.2,1484127882.2,0.00320196151733
22447,98,1484127882.22,1484127882.22,0.00172400474548
22447,99,1484127882.24,1484127882.24,0.00161790847778
22447,100,1484127882.26,1484127882.26,0.00163388252258
22447,101,1484127882.28,1484127882.28,0.00151801109314
22447,102,1484127882.3,1484127882.3,0.00178289413452
22447,103,1484127882.32,1484127882.32,0.00144720077515
22447,104,1484127882.34,1484127882.34,0.00158500671387
22447,105,1484127882.36,1484127882.36,0.0013370513916
22447,106,1484127882.38,1484127882.38,0.00193905830383
22447,107,1484127882.4,1484127882.4,0.00307893753052
22447,108,1484127882.42,1484127882.42,0.00150299072266
22447,109,1484127882.44,1484127882.44,0.0047299861908
22447,110,1484127882.46,1484127882.46,0.00163984298706
22447,111,1484127882.48,1484127882.48,0.00232195854187
22447,112,1484127882.5,1484127882.5,0.00146794319153
22447,113,1484127882.52,1484127882.52,0.00303912162781
22447,114,1484127882.54,1484127882.54,0.00298309326172
22447,115,1484127882.56,1484127882.56,0.00135898590088
22447,116,1484127882.58,1484127882.58,0.0030460357666
22447,117,1484127882.6,1484127882.6,0.00156497955322
22447,118,1484127882.62,1484127882.62,0.00184893608093
22447,119,1484127882.64,1484127882.64,0.00201797485352
22447,120,1484127882.66,1484127882.66,0.00219798088074
22447,121,1484127882.68,1484127882.68,0.00205302238464
22447,122,1484127882.7,1484127882.7,0.00326991081238
22447,123,1484127882.72,1484127882.72,0.00435996055603
22447,124,1484127882.74,1484127882.74,0.00277900695801
22447,125,1484127882.76,1484127882.76,0.00203204154968
22447,126,1484127882.78,1484127882.78,0.0018630027771
22447,127,1484127882.8,1484127882.8,0.00125503540039
22447,128,1484127882.82,1484127882.82,0.00190305709839
22447,129,1484127882.84,1484127882.84,0.0018470287323
22447,130,1484127882.86,1484127882.86,0.00195407867432
22447,131,1484127882.88,1484127882.88,0.0017831325531
22447,132,1484127882.9,1484127882.9,0.00107598304749
22447,133,1484127882.92,1484127882.92,0.00182795524597
22447,134,1484127882.94,1484127882.94,0.00185203552246
22447,135,1484127882.96,1484127882.96,0.00164198875427
22447,136,1484127882.98,1484127882.98,0.00108194351196
22447,137,1484127883.0,1484127883.0,0.00170111656189
22447,138,1484127883.02,1484127883.02,0.00287508964539
22447,139,1484127883.04,1484127883.04,0.00290298461914
22447,140,1484127883.06,1484127883.06,0.00310301780701
